id_detalle_pedido,id_pizza,cantidad
1,hawaiana_m,1
2,clasica_dlx_m,1
2,cinco_quesos_g,1
2,supr_italiana_g,1
2,mexicana_m,1
2,pollo_tai_g,1
3,supr_italiana_m,1
3,prsc_rucula_g,1
4,supr_italiana_m,1
5,supr_italiana_m,1
6,pollo_bbq_p,1
6,griega_p,1
7,supr_espinaca_p,1
8,supr_espinaca_p,1
9,clasica_dlx_p,1
9,jardin_verde_p,1
9,capocollo_ital_g,1
9,supr_italiana_g,1
9,supr_italiana_p,1
9,mexicana_p,1
9,ital_picante_g,1
9,espinaca_pesto_g,1
9,veg_veg_p,1
10,mexicana_g,1
10,pollo_suroeste_g,1
11,pollo_bbq_g,1
11,pollo_cali_g,1
11,pollo_cali_m,1
11,pepperoni_g,1
12,pollo_cali_g,1
12,pollo_cali_p,1
12,pollo_pesto_g,1
12,supr_italiana_m,1
13,mexicana_g,1
14,griega_p,1
15,gran_carne_p,1
15,cinco_quesos_g,1
15,soppressata_g,1
15,griega_p,1
16,cuatro_quesos_g,1
16,napolitana_p,1
16,pollo_tai_g,1
17,pollo_bbq_g,1
17,calabresa_m,1
17,cinco_quesos_g,1
17,cuatro_quesos_m,1
17,supr_italiana_m,1
17,ital_veggie_p,1
17,mediterranea_m,2
17,mexicana_g,1
17,salami_peppr_p,1
17,espinaca_feta_g,1
18,napolitana_g,1
19,capocollo_ital_g,1
19,siciliana_g,1
20,gran_carne_p,1
20,cinco_quesos_g,1
21,capocollo_ital_g,1
22,cinco_quesos_g,1
22,capocollo_ital_m,1
22,pollo_suroeste_g,1
23,pollo_suroeste_p,1
24,pollo_bbq_m,1
24,capocollo_ital_m,1
24,pepperoni_m,1
24,prsc_rucula_p,1
25,siciliana_m,1
25,pollo_tai_g,1
26,clasica_dlx_p,1
26,veg_veg_g,1
27,pollo_bbq_g,1
27,clasica_dlx_m,1
27,espinaca_feta_g,1
28,pollo_alfredo_p,1
29,jardin_verde_p,1
30,pollo_tai_g,1
31,mexicana_m,1
31,pepperoni_p,1
32,gran_carne_p,1
32,jardin_verde_g,1
32,capocollo_ital_g,1
32,supr_italiana_m,1
33,pollo_bbq_g,1
33,jardin_verde_p,1
34,griega_p,1
35,jardin_verde_m,1
35,pep_msh_pep_g,1
35,pepperoni_m,1
35,pollo_tai_g,1
36,pollo_bbq_m,1
36,clasica_dlx_m,1
37,supr_italiana_g,1
37,mexicana_g,1
38,hawaiana_p,1
38,capocollo_ital_g,1
39,supr_italiana_g,1
40,cuatro_quesos_g,1
40,pollo_suroeste_p,1
41,cuatro_quesos_m,1
41,jardin_verde_p,1
42,gran_carne_p,1
42,cinco_quesos_g,1
42,mexicana_g,1
42,salami_peppr_m,1
43,pollo_alfredo_m,1
43,supr_italiana_m,1
43,salami_peppr_g,1
44,espinaca_pesto_p,1
45,cuatro_quesos_g,1
45,hawaiana_p,1
45,pollo_tai_m,1
